theme_park,sub_land,show_name,height_requirement,avg_wait_time,latitude,longitude,
EPCOT,World Showcase,The American Adventure,0,0,show,28.36848834,-81.54916804
EPCOT,World Celebration,Disney & Pixar Short Film Festival,0,8,attraction,28.37330123,-81.5507314
EPCOT,"
World Showcase",Frozen Ever After,0,63,ride,28.37167063,-81.54672448
EPCOT,"
World Showcase",Gran Fiesta Tour Starring The Three Caballeros,0,10,ride,28.3729466,-81.54733165
EPCOT,World Discovery,Guardians of the Galaxy: Cosmic Rewind,42,30,ride,28.37607722,-81.54798098
EPCOT,World Showcase,Impressions de France,0,0,show,28.36955738,-81.55274877
